pathway.sortorder,biochemical,super.pathway,sub.pathway,comp.id,platform,chemical.id,ri,mass,cas,pubchem,kegg,hmdb
1187,5-hydroxyhexanoate,Lipid,"Fatty Acid, Monohydroxy",31938,LC/MS Neg,100001148,1283,131.2,44843-89-2 ;,170748,,HMDB00525
241,5-methylnorleucine,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",43546,LC/MS Pos,100004549,2405.3,146.1,31872-98-7;,94817,,
337,5-methylthioadenosine (MTA),Amino Acid,Polyamine Metabolism,1419,LC/MS Pos,212,2427,298.1,2457-80-9;,439176,C00170,HMDB01173
2146,5-methyluridine (ribothymidine),Nucleotide,"Pyrimidine Metabolism, Uracil containing",35136,LC/MS Neg,100001446,1774,257.1,1463-10-1;,445408,,HMDB00884
356,5-oxoproline,Amino Acid,Glutathione Metabolism,1494,LC/MS Neg,1021,744,128.2,98-79-3;,7405,C01879,HMDB00267
1656,6-beta-hydroxylithocholate,Lipid,Secondary Bile Acid Metabolism,36807,LC/MS Neg,100001625,4826,391.3,668-49-5;,5283821,C15515,HMDB00811
1668,"7,12-diketolithocholate",Lipid,Secondary Bile Acid Metabolism,32323,LC/MS Pos,100001070,4810,405.1,517-33-9 ;,3080560,,
1671,7-ketolithocholate,Lipid,Secondary Bile Acid Metabolism,31908,LC/MS Neg,100001069,5067,389.4,4651-67-6 ;,444262,,HMDB00467
2114,7-methylguanine,Nucleotide,"Purine Metabolism, Guanine containing",35114,LC/MS Neg,100001456,1714,164.1,578-76-7;,11361,C02242,HMDB00897
1211,"9,10-epoxystearate",Lipid,"Fatty Acid, Oxidized",39627,LC/MS Neg,100003063,5386.6,297.4,2443-39-2;,15868,,
333,acisoga,Amino Acid,Polyamine Metabolism,43258,LC/MS Pos,100004541,2317.9,185.3,106692-36-8;,129397,,
2081,adenine,Nucleotide,"Purine Metabolism, Adenine containing",554,LC/MS Pos,880,1003,136.1,73-24-5;,190,C00147,HMDB00034
2080,adenosine,Nucleotide,"Purine Metabolism, Adenine containing",555,LC/MS Pos,798,1650,268.1,58-61-7;,60961,C00212,HMDB00050
991,adrenate (22:4n6),Lipid,Polyunsaturated Fatty Acid (n3 and n6),32980,LC/MS Neg,100001193,5684,331.3,2091-25-0;,5497181,C16527,HMDB02226
331,agmatine,Amino Acid,Polyamine Metabolism,15496,GC/MS,100000103,1526,174,2482-00-0;,199,C00179,HMDB01432
24,alanine,Amino Acid,Alanine and Aspartate Metabolism,1126,GC/MS,811,1147.6,115.9,56-41-7;,5950,C00041,HMDB00161
383,alanylalanine,Peptide,Dipeptide,15129,LC/MS Pos,100000113,757,161.1,1948-31-8;,5484352,,HMDB28680
391,alanylisoleucine,Peptide,Dipeptide,37118,LC/MS Pos,100001891,2011,203.1,,4.17E+12,,
392,alanylleucine,Peptide,Dipeptide,37093,LC/MS Pos,100001890,2150,203,1638-60-4;,259583,,
396,alanylproline,Peptide,Dipeptide,37083,LC/MS Pos,100001888,1400,187.1,13485-59-1;,418040,,
401,alanylvaline,Peptide,Dipeptide,37084,LC/MS Pos,100001884,1513,189, 3303-45-5;,137276,,
2068,allantoin,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",1107,GC/MS,1002,1809.8,518.3,97-59-6;,204,C02350,HMDB00462
16,allo-threonine,Amino Acid,"Glycine, Serine and Threonine Metabolism",15142,GC/MS,100000272,1417.8,219,28954-12-3;,99289,C05519,HMDB04041
261,alpha-hydroxyisocaproate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",22132,LC/MS Neg,100000706,1854,131.2,10303-64-7;,83697,C03264,HMDB00746
233,alpha-hydroxyisovalerate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",33937,GC/MS,100001300,1208,145.1,600-37-3;,99823,,HMDB00407
277,alpha-ketobutyrate,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",42107,GC/MS,796,1220,231.1,600-18-0;,58,C00109,HMDB00005
916,alpha-ketoglutarate,Energy,TCA Cycle,33453,GC/MS,93,1779,419.1,305-72-6;328-50-7;22202-68-2;,51,C00026,HMDB00208
1649,alpha-muricholate,Lipid,Primary Bile Acid Metabolism,34092,LC/MS Pos,100001280,5167,373.3,2393-58-0;,3083761,C17647,HMDB00506
2232,alpha-tocopherol,Cofactors and Vitamins,Tocopherol Metabolism,1561,GC/MS,1105,2305.4,502.5,59-02-9;10191-41-0;,14985,C02477,HMDB01893
187,anthranilate,Amino Acid,Tryptophan Metabolism,4970,LC/MS Pos,1258,3213,138.1,118-92-3;,227,C00108,HMDB01123
781,arabitol,Carbohydrate,Pentose Metabolism,38075,GC/MS,100000012,1687.5,307.1,7643-75-6;,94154,C00474,HMDB01851
2230,arabonate,Cofactors and Vitamins,Ascorbate and Aldarate Metabolism,37516,GC/MS,100001937,1736,292.1,7643-75-7;,122045,C00878,HMDB00539
963,arachidate (20:0),Lipid,Long Chain Fatty Acid,44679,LC/MS Neg,893,6282,311.3,506-30-9;,10467,C06425,HMDB02212
990,arachidonate (20:4n6),Lipid,Polyunsaturated Fatty Acid (n3 and n6),1110,LC/MS Neg,229,5525,303.4,506-32-1;,444899,C00219,HMDB01043
297,arginine,Amino Acid,Urea cycle; Arginine and Proline Metabolism,1638,GC/MS,231,1608.5,142,1119-34-2;,232,C00062,HMDB00517
2227,ascorbate (Vitamin C),Cofactors and Vitamins,Ascorbate and Aldarate Metabolism,1640,GC/MS,233,1850.1,332.1,134-03-2;,,C00072,HMDB00044
27,aspartate,Amino Acid,Alanine and Aspartate Metabolism,15996,GC/MS,234,1529.7,232,56-84-8;,5960,C00049,HMDB00191
436,aspartylleucine,Peptide,Dipeptide,40068,LC/MS Pos,100003158,2310,247.2,3062-14-4;,332962,,
1062,azelate (nonanedioate),Lipid,"Fatty Acid, Dicarboxylate",18362,LC/MS Neg,2029,1322,187.2,123-99-9;,2266,C08261,HMDB00784
969,behenate (22:0),Lipid,Long Chain Fatty Acid,12125,GC/MS,314,2143,397.4,112-85-6;,8215,C08281,HMDB00944
2160,beta-alanine,Nucleotide,"Pyrimidine Metabolism, Uracil containing",55,GC/MS,244,1451.8,174,56-41-7;107-95-9;,239,C00099,HMDB00056
1648,beta-muricholate,Lipid,Primary Bile Acid Metabolism,31885,LC/MS Pos,100001066,5191,391.2,2393-59-1;,5283853,C17726,HMDB00415
1517,beta-sitosterol,Lipid,Sterol,27414,GC/MS,100001033,2380.8,357.4,83-46-5;,222284,C01753,HMDB00852
2263,"bilirubin (Z,Z)",Cofactors and Vitamins,Hemoglobin and Porphyrin Metabolism,37057,LC/MS Pos,1090,4700,585.2,635-65-4;,5280352,C00486,HMDB00054
2266,biliverdin,Cofactors and Vitamins,Hemoglobin and Porphyrin Metabolism,2137,LC/MS Pos,250,4936,583.3,55482-27-4;55482-27-4 ;,5353439,C00500,HMDB01008
2249,biopterin,Cofactors and Vitamins,Tetrahydrobiopterin Metabolism,12358,LC/MS Pos,1548,1555,238.1,22150-76-1;,445040,C06313,HMDB00468
85,cadaverine,Amino Acid,Lysine Metabolism,15308,GC/MS,100000110,1780.4,174,462-94-2;1476-39-7;,273,C01672,HMDB02322
1519,campesterol,Lipid,Sterol,39511,GC/MS,100001269,2353,343.4,474-62-4;,173183,C01789,HMDB02869
938,caprate (10:0),Lipid,Medium Chain Fatty Acid,1642,LC/MS Neg,888,5092,171.2,112-37-8;,2969,C01571,HMDB00511
934,caproate (6:0),Lipid,Medium Chain Fatty Acid,32489,LC/MS Neg,926,2766,115.2,142-62-1;,8892,C01585,HMDB00535
936,caprylate (8:0),Lipid,Medium Chain Fatty Acid,32492,LC/MS Neg,932,4367,143.2,124-07-2;,379,C06423,HMDB00482
1163,carnitine,Lipid,Carnitine Metabolism,15500,LC/MS Pos,100000007,702,162.2,461-05-2;,10917,C00318,HMDB00062
212,C-glycosyltryptophan,Amino Acid,Tryptophan Metabolism,32675,LC/MS Pos,100001949,1912,367.1,,,,
1645,chenodeoxycholate,Lipid,Primary Bile Acid Metabolism,37789,LC/MS Neg,1123,5250,391.4,474-24-9;474-25-9;,10133,C02528,HMDB00518
1297,chiro-inositol,Lipid,Inositol Metabolism,37112,GC/MS,100001859,1857,318.1,643-12-9;,,,
1642,cholate,Lipid,Primary Bile Acid Metabolism,22842,LC/MS Pos,136,5322,426.2,81-25-4;,221493,C00695,HMDB00619
1509,cholestanol,Lipid,Sterol,21131,GC/MS,100000859,2320.8,215.2,80-97-7;,6665,C12978,HMDB00908
1496,cholesterol,Lipid,Sterol,63,GC/MS,266,2316.9,329.3,57-88-5;,11025495,C00187,HMDB00067
912,cis-aconitate,Energy,TCA Cycle,12025,LC/MS Neg,1829,603,173.1,585-84-2;,643757,C00417,HMDB00072
956,cis-vaccenate (18:1n7),Lipid,Long Chain Fatty Acid,33970,GC/MS,100001228,1987,339.3,506-17-2;,5282761,C08367,HMDB03231
911,citrate,Energy,TCA Cycle,1564,GC/MS,1124,1763.4,273.1,77-92-9;,311,C00158,HMDB00094
301,citrulline,Amino Acid,Urea cycle; Arginine and Proline Metabolism,2132,LC/MS Pos,391,715,176.1,372-75-8;,9750,C00327,HMDB00904
2258,Coproporphyrin I,Cofactors and Vitamins,Hemoglobin and Porphyrin Metabolism,39318,LC/MS Neg,100002497,3288.4,653.4,69477-27-6;,68271,C05769,HMDB00643
2259,coproporphyrin III,Cofactors and Vitamins,Hemoglobin and Porphyrin Metabolism,39317,LC/MS Neg,100002495,3385.6,653.4,14643-66-4;,114935,C05770,HMDB00570
1510,coprostanol,Lipid,Sterol,45986,GC/MS,100005346,2289,215.2,360-68-9;,,,
324,creatine,Amino Acid,Creatine Metabolism,27718,LC/MS Pos,1221,758,132.1,57-00-1;,586,C00300,HMDB00064
447,cyclo(gly-pro),Peptide,Dipeptide,37077,LC/MS Pos,100001946,1754,155.1,3705-27-9;,126154,,
451,cyclo(leu-pro),Peptide,Dipeptide,37104,LC/MS Pos,100001925,3445,211.1,2873-36-1 ;,7074739,,
453,cyclo(L-phe-D-pro),Peptide,Dipeptide,43787,LC/MS Pos,100004636,3556,245.2,,6992198,,
454,cyclo(L-phe-L-pro),Peptide,Dipeptide,37095,LC/MS Pos,100001927,3651,245.1,,9.84E+12,C11847,
456,cyclo(pro-tyr),Peptide,Dipeptide,43522,LC/MS Pos,100004363,2589,261.2,4549-02-4;,,,
281,cysteine,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",31453,GC/MS,800,1560.1,218,52-90-4;56-89-3;,5862,C00097,HMDB00574
283,cystine,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",39512,GC/MS,279,2015.3,145.9,56-89-3;,67678,C00491,HMDB00192
2168,cytidine,Nucleotide,"Pyrimidine Metabolism, Cytidine containing",514,LC/MS Neg,827,1351,242.1,65-46-3;,6175,C00475,HMDB00089
2537,daidzein,Xenobiotics,Food Component/Plant,32453,LC/MS Neg,100001219,3541,253.1,486-66-8 ;,5281708,C10208,HMDB03312
1162,deoxycarnitine,Lipid,Carnitine Metabolism,36747,LC/MS Pos,100001662,759,146.1,6249-56-5;,134,C01181,HMDB01161
1653,deoxycholate,Lipid,Secondary Bile Acid Metabolism,1114,LC/MS Neg,302,5268,391.4,83-44-3;,222528,C04483,HMDB00626
3012,dexpanthenol,Xenobiotics,Chemical,38314,LC/MS Pos,100002376,2293,206.2,16485-10-2;,4678,D03726,HMDB04231
2428,diaminopimelate,Xenobiotics,Food Component/Plant,15130,GC/MS,100000115,1874.4,272.1,1476-39-7;2577-62-0;,439283,C00666,HMDB01370
994,dihomo-linoleate (20:2n6),Lipid,Polyunsaturated Fatty Acid (n3 and n6),17805,LC/MS Neg,1231,5722,307.3,2091-39-6;,6439848,C16525,HMDB05060
989,dihomo-linolenate (20:3n3 or n6),Lipid,Polyunsaturated Fatty Acid (n3 and n6),35718,LC/MS Neg,100001739,5600,305.4,17046-59-2 ;,5280581,C03242,HMDB02925
308,dimethylarginine (SDMA + ADMA),Amino Acid,Urea cycle; Arginine and Proline Metabolism,36808,LC/MS Pos,100001810,812,203.2,102783-24-4;,123831,C03626,HMDB01539
2459,dipicolinate,Xenobiotics,Food Component/Plant,15135,GC/MS,100000146,1721.3,296.1,499-83-2;,10367,,
993,docosadienoate (22:2n6),Lipid,Polyunsaturated Fatty Acid (n3 and n6),32415,LC/MS Neg,100001182,6017,335.4,7370-49-2 ;,5282807,C16533,
981,docosahexaenoate (DHA; 22:6n3),Lipid,Polyunsaturated Fatty Acid (n3 and n6),19323,LC/MS Neg,100000665,5518,327.3,6217-54-5;,445580,C06429,HMDB02183
980,docosapentaenoate (n3 DPA; 22:5n3),Lipid,Polyunsaturated Fatty Acid (n3 and n6),32504,LC/MS Neg,100001181,5574,329.4,2234-74-4 ;,6441454,C16513,HMDB01976
992,docosapentaenoate (n6 DPA; 22:5n6),Lipid,Polyunsaturated Fatty Acid (n3 and n6),37478,LC/MS Neg,100001580,5625,329.4,25182-74-5;,6441454,C16513,HMDB13123
