SampleID	Raw	Mapped	Unmapped
204B.colon	0	5550	561
205L.DI.tissue	0	3700	38
214K.stom	0	8204	425
215B.DI	0	9360	619
Burrin.0003883	0	9051	229
Burrin.0003834	0	5025	110
213I.colon	0	6340	110
214B.stom	0	7065	807
Burrin.0003799	0	10630	497
214H.DI	0	10932	323
Burrin.0003826	0	5074	295
206I.stom	0	5837	64
Burrin.0003876	0	6096	18
Burrin.0003861	0	5483	28
206B.I	0	5667	316
214I.colon.tissue	0	8147	620
204M.I	0	6376	156
213D.stom	0	3824	909
Burrin.0003891	0	9972	65
214G.colon.tissue	0	10009	234
214B.DI.tissue	0	6938	203
Burrin.0003912	0	7197	128
Burrin.0003828	0	4968	342
Burrin.0003748	0	5989	212
Burrin.0003789	0	4239	26
Burrin.0003825	0	8221	330
205A.Ile.tissue	0	4724	896
204C.DI.tissue	0	4357	313
Burrin.0003934	0	6232	387
206L.stom	0	7	0
214L.colon.tissue.1	0	6847	484
Burrin.0003820	0	2238	386
204G.stom	0	4800	348
204D.DI	0	6722	377
215C.stom	0	6938	489
Burrin.0003803	0	9543	447
Burrin.0003812	0	5678	211
Burrin.0003835	0	4211	449
214K.DI	0	7646	121
205I.stom	0	4546	389
Burrin.0003924	0	5604	167
Burrin.0003887	0	4685	32
Burrin.0003917	0	2595	18
Burrin.0003800	0	8898	727
206D.stom	0	4016	403
204F.colon	0	5617	182
213N.stom	0	5198	520
204D.colon.tissue	0	8840	796
214B.DI	0	8678	586
214G.DI.tissue	0	1	0
Burrin.0003856	0	345	35
213I.stom	0	3875	56
205E.DI.tissue	0	5854	199
204P.Ile.tissue	0	5520	132
Burrin.0003870	0	3729	77
Burrin.0003822	0	5590	166
Burrin.0003767	0	7705	245
215G.colon.tissue	0	5775	500
Burrin.0003945	0	9563	150
204L.stom	0	7155	663
215K.colon.tissue	0	7735	769
206D.colon	0	5880	853
Burrin.0003774	0	6575	134
Burrin.0003862	0	2769	26
Burrin.0003727	0	6286	784
213G.stom	0	4718	384
Burrin.0003884	0	2688	46
Burrin.0003733	0	3628	97
214A.stom	0	6444	290
206C.Ile	0	8003	348
Burrin.0003763	0	3340	369
214L.DI.tissue	0	3104	14
Burrin.0003758	0	9194	125
205L.colon.1	0	7071	391
204L.DI	0	6259	173
Burrin.0003759	0	9336	265
206D.I	0	8026	368
213K.stom	0	3952	194
214L.DI	0	6496	190
204G.DI	0	11706	487
Burrin.0003865	0	7296	213
215C.colon.tissue	0	6791	364
204G.colon.tissue	0	9014	1211
204F.Ile	0	10782	435
Burrin.0003827	0	4545	305
205F.stom	0	3430	49
212D.colon.tissue	0	4	0
212E.DI	0	8761	574
Burrin.0003874	0	7524	68
Burrin.0003824	0	4939	225
206L.DI.tissue	0	4324	610
Burrin.0003785	0	4140	42
204H.colon	0	7155	1627
214I.colon	0	6	1
Burrin.0003888	0	7624	167
205D.I	0	7931	564
Burrin.0003753	0	6294	184
Burrin.0003923	0	3472	186
215G.stom	0	6144	428
204B.DI.tissue	0	6789	259
Burrin.0003937	0	7088	81
215B.colon.tissue	0	7694	600
Burrin.0003780	0	9309	268
204C.DI	0	6578	742
205F.Ile	0	7013	174
206C.stom	0	4070	434
206B.stom	0	4149	205
Burrin.0003804	0	5143	326
215G.colon	0	9721	888
Burrin.0003735	0	4196	190
206I.colon	0	5453	159
214H.stom	0	6414	194
Burrin.0003859	0	886	6
Burrin.0003892	0	5874	24
Burrin.0003879	0	3181	44
Burrin.0003938	0	6285	30
205C.DI.tissue	0	4033	241
215B.DI.tissue	0	6975	176
206H.colon	0	7633	847
213I.DI.tissue	0	188	7
204E.colon.tissue	0	5777	509


Raw Stats


Merged Stats:
Count: 442
Total: 2828795
Min: 1
Max: 15846
Mean: 6399.98868778281
Med: 6600.5
StdDev: 2814.49389973344
CoV: 0.439765449133705


Mapped Stats:
Count: 442
Total: 2667929
Min: 1
Max: 14910
Mean: 6036.03846153846
Med: 6098
StdDev: 2641.30478791896
CoV: 0.437589124845593
